sample	paired	tissue	subtissue	origin	body_location
SRS1036274	y	Pancreas	Pancreas	Pancreas	Body
SRS1054265	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054266	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054267	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054268	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054269	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1572423	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572424	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572425	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572427	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572428	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1588794	n	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1588796	n	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597854	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597855	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597856	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597857	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597858	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597859	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597860	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597861	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597862	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597863	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597864	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597865	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597866	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597867	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597868	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597869	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597870	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597871	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597872	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597873	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597874	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597875	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597876	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597877	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597878	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597879	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597880	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597881	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597882	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS302236	n	RPE	RPE_Fetal.Tissue	RPE_FetalTissue	RPE_Fetal.Tissue
SRS302237	n	RPE	RPE_Fetal.Tissue	RPE_FetalTissue	RPE_Fetal.Tissue
SRS302238	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS302239	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS302240	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS302241	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS302242	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS302243	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS311706	n	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS311707	n	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS311708	n	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS311709	n	RPE	RPE_Fetal.Tissue	RPE_FetalTissue	RPE_Fetal.Tissue
SRS311710	n	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS311711	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS311712	n	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS311713	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS311714	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS311715	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS332930	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS332942	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS332955	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS332962	n	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS332976	y	Lung	Lung	Lung	Body
SRS332997	y	Brain	Brain-Putamenbasalganglia	Brain-Putamenbasalganglia	Brain
SRS332999	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS333022	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS333027	y	Lung	Lung	Lung	Body
SRS333038	y	Blood	WholeBlood	WholeBlood	Body
SRS333043	y	Brain	Brain-FrontalCortexBA9	Brain-FrontalCortexBA9	Brain
SRS333045	y	Brain	Brain-CerebellarHemisphere	Brain-CerebellarHemisphere	Brain
SRS333050	y	Thyroid	Thyroid	Thyroid	Body
SRS333051	n	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS333055	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS333059	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS333121	y	Brain	Brain-CerebellarHemisphere	Brain-CerebellarHemisphere	Brain
SRS333123	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS333162	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS333191	n	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS333207	y	Brain	Brain-AnteriorcingulatecortexBA24	Brain-AnteriorcingulatecortexBA24	Brain
SRS333243	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS333250	y	Brain	Brain-Hippocampus	Brain-Hippocampus	Brain
SRS333277	y	Brain	Brain-CerebellarHemisphere	Brain-CerebellarHemisphere	Brain
SRS333278	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS333298	y	Thyroid	Thyroid	Thyroid	Body
SRS333307	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS333310	y	Lung	Lung	Lung	Body
SRS333314	y	Thyroid	Thyroid	Thyroid	Body
SRS333328	y	Lung	Lung	Lung	Body
SRS333356	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS333370	y	Blood	WholeBlood	WholeBlood	Body
SRS333379	y	Brain	Brain-Cortex	Brain-Cortex	Brain
SRS333380	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS333383	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS333403	y	Blood	WholeBlood	WholeBlood	Body
SRS333405	y	Brain	Brain-CerebellarHemisphere	Brain-CerebellarHemisphere	Brain
SRS333415	y	Thyroid	Thyroid	Thyroid	Body
SRS333420	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS333422	y	Brain	Brain-Caudatebasalganglia	Brain-Caudatebasalganglia	Brain
SRS333427	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS333429	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS333467	y	Blood	WholeBlood	WholeBlood	Body
SRS333472	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS333474	y	Heart	Heart-LeftVentricle	Heart-LeftVentricle	Body
SRS333527	y	Blood	WholeBlood	WholeBlood	Body
SRS333537	y	Muscle	Muscle-Skeletal	Muscle-Skeletal	Body
SRS333541	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS333545	y	Brain	Brain-Hypothalamus	Brain-Hypothalamus	Brain
SRS333555	y	Thyroid	Thyroid	Thyroid	Body
